A1=H Contrato Dados
A2=Entidade/Contrato | B2=Dono | C2=Fonte | D2=Chave/ID documentado | E2=Campos mínimos documentados | F2=Estados | G2=Idempotência/Atualização | H2=Bloqueio/Pendência
A21=cocoa_market_signal | B21=Operação/Inteligência | C21=Fontes externas auditadas | D21=signal_id + observed_at + signal_type | E21=signal_type, observed_at, geography_or_market, value, unit, direction, severity, source, fetched_at, freshness, threshold_version | F21=INFORMATIVE/STALE/UNAVAILABLE/ADVERSE/FAVORABLE | G21=Não cria pedido nem altera recomendação; manter origem/timestamp | H21=Fontes, thresholds e normalização comparável ainda precisam homologação
A22=cocoa_supplier_origin | B22=Operação | C22=Cadastro de fornecedores / origem aprovada | D22=supplier_id + origin_id | E22=supplier_id, cocoa_origin_country, region, locality_when_available, valid_from, valid_to, source, updated_at | F22=ACTIVE/INACTIVE/UNAVAILABLE | G22=Histórico de origem preservado por vigência | H22=Necessário para alerta climático focado nos locais reais dos fornecedores atuais de cacau
A23=seasonality_calendar | B23=Inteligência/Planejamento | C23=Majucau | D23=seasonality_id + year/version | E23=label, year, start_date, end_date, type, active, created_at, updated_at, rule_version | F23=ACTIVE/INACTIVE | G23=Versionar datas por ano; não hardcode eventos móveis | H23=Calendário inicial precisa cadastro/homologação por ano
A24=forecast_model_version | B24=Inteligência | C24=Motor Majucau + Bling histórico | D24=model_version | E24=generated_at, training_start, training_end, horizon_start, horizon_end, history_months, algorithm_ref, parameter_version, seasonality_version, wape, bias, mase, backtest_ref, status | F24=DRAFT/CONFIRMED/REJECTED/UNAVAILABLE | G24=Nunca sobrescrever resultados de backtest/versionamento | H24=Thresholds de aprovação L-20
A25=sales_forecast_projection | B25=Inteligência | C25=Motor Majucau | D25=model_version + scenario_version + sku + period | E25=sku, unit, period_start, period_end, projected_qty, projected_revenue_when_available, state, source_snapshot_refs | F25=PROJECTED/UNAVAILABLE | G25=Nova versão cria novo snapshot; não converter em realizado | H25=Mapeamento técnico Bling deve ser auditado
A26=projection_target_scenario | B26=Planejamento | C26=Majucau | D26=scenario_version | E26=scenario_type, target_revenue, sku_overrides, period_start, period_end, price_method_version, mix_method_version, created_by, created_at, base_model_version | F26=DRAFT/PROJECTED/ARCHIVED | G26=Alteração cria nova versão auditável; não sobrescrever histórico | H26=Regra detalhada de distribuição L-21
A27=production_projection | B27=Operação/Planejamento | C27=Derivado da projeção de vendas | D27=scenario_version + sku + period | E27=sku, unit, period_start, period_end, projected_sales_qty, projected_production_qty, rule_version, state | F27=PROJECTED/UNAVAILABLE | G27=Não descontar estoque pronto atual; manter lineage para projeção de venda | H27=Regra adicional de produção futura exige nova aprovação
A28=inventory_projection | B28=Operação/Planejamento | C28=Bling estoque + projeções | D28=scenario_version + sku + period | E28=sku, unit, initial_stock_qty, projected_production_qty, projected_sales_qty, projected_ending_stock_qty, position_ts, state | F28=PROJECTED/UNAVAILABLE | G28=Saldo inicial ausente não vira zero; acumular período a período | H28=Depende de snapshot de estoque válido
A29=projection_export_snapshot | B29=Planejamento | C29=Tela 12 / cenário selecionado | D29=export_id | E29=generated_at, position_ts, model_version, scenario_version, filters, horizon, workbook_schema_version, projected_marking, source_refs | F29=GENERATED/FAILED | G29=Exportação imutável do contexto; reexportar gera novo export_id | H29=Não cria OP/compra/venda nem altera Bling
A30=pending_item | B30=Controle | C30=Módulos/integrações/registros aprovados | D30=pending_id | E30=pending_id, type, module, source_ref, source_id, description, status, severity_when_applicable, dependency_ref, owner_or_context, created_at, updated_at, resolved_at_when_valid, evidence_refs | F30=OPEN/BLOCKED/PENDING/UNMAPPED/STALE/DIVERGENT/RESOLVED | G30=Mesmo evento/chave não cria pendência duplicada; mudança de status preserva histórico | H30=Fluxos de resolução por tipo L-23; exportação L-22
A31=alert_event | B31=Controle | C31=Módulos de origem | D31=alert_id | E31=alert_id, module, source_ref, source_rule_id, title, impact, priority, status, observed_at, updated_at, resolved_at, position_ts | F31=CRITICAL/ATTENTION/INFORMATIVE/RESOLVED/STALE conforme contrato de origem | G31=A mesma condição/source_rule não deve ser publicada em duplicidade; resolução preserva histórico | H31=Thresholds pertencem ao módulo de origem; exportação L-22
A32=integration_source_health | B32=Integrações | C32=Bling + fontes externas configuradas | D32=source_id + position_ts | E32=source_id, provider, integration_type, last_attempt_at, last_success_at, freshness_policy_ref, status, error_code, error_summary, active, position_ts | F32=OK/WARNING/ERROR/STALE/UNAVAILABLE | G32=Snapshot de saúde por posição; falha não apaga last_success_at nem última evidência válida | H32=Freshness por fonte L-24
A33=integration_reprocess_attempt | B33=Integrações | C33=Importador / lote existente | D33=attempt_id | E33=attempt_id, batch_id, source_id, file_hash_when_applicable, triggered_by, triggered_at, finished_at, status, rows_read, rows_accepted, rows_rejected, error_ref | F33=PENDING/RUNNING/SUCCEEDED/FAILED | G33=Reprocessamento usa idempotência do lote + business key; nova tentativa não duplica fatos | H33=Permissões/retries/timeouts dependem da configuração técnica; exportação L-22
A34=parameter_registry | B34=Configurações | C34=Majucau + contratos de origem | D34=parameter_key | E34=parameter_key, group, display_name, value, value_type, unit_when_applicable, source_ref, rule_version, effective_from, effective_to, status, updated_by, updated_at | F34=CONFIRMED/INACTIVE/UNAVAILABLE | G34=Nunca sobrescrever versão histórica; alteração aprovada cria nova vigência/evidência | H34=Fluxo de edição/aprovação L-25
A35=parameter_change_event | B35=Configurações | C35=Majucau | D35=change_id | E35=change_id, parameter_key, before_value, after_value, actor_user_id, changed_at, reason, approval_ref, rule_version | F35=PROPOSED/APPLIED/REJECTED/ROLLED_BACK | G35=Eventos imutáveis; rollback cria novo evento, não apaga passado | H35=Somente quando fluxo de edição for homologado — L-25
A36=user_account | B36=Segurança/Configurações | C36=Majucau / provedor de identidade aprovado | D36=user_id | E36=user_id, display_name, login_identifier, profile_id, status, last_access_at, created_at, updated_at | F36=ACTIVE/BLOCKED/PENDING/INACTIVE | G36=Mudança de status preserva histórico; nenhum segredo/token no registro de tela | H36=Provedor e lifecycle técnico L-26
A37=access_profile | B37=Segurança/Configurações | C37=Majucau | D37=profile_id | E37=profile_id, name, description, status, created_at, updated_at | F37=ACTIVE/INACTIVE | G37=Não reutilizar profile_id para significado diferente; mudança relevante versionada/auditada | H37=Matriz detalhada L-26
A38=profile_permission | B38=Segurança/Configurações | C38=Majucau | D38=profile_id + resource + action | E38=profile_id, module_or_resource, action, effect, valid_from, valid_to, updated_by, updated_at | F38=ALLOW/DENY | G38=Default deny; permissão efetiva calculada no backend | H38=Matriz ação×módulo L-26
A39=access_audit_event | B39=Segurança | C39=Backend/IAM | D39=audit_id | E39=audit_id, actor_user_id, target_user_id, action, resource, before_state, after_state, occurred_at, request_ref, result | F39=SUCCESS/DENIED/FAILED | G39=Append-only; não apagar eventos de acesso/alteração material | H39=Retenção/integração IAM a definir tecnicamente em L-26
