A1=A Matriz Mestra
A2=ID | B2=Domínio | C2=Tema | D2=Regra | E2=Fonte documental | F2=Dono da regra | G2=Fonte do dado | H2=Sistema atual | I2=Situação atual | J2=Dependência de outro domínio | K2=Regra correspondente no outro documento | L2=Compatível? | M2=Conflito? | N2=Lacuna? | O2=Alteração necessária | P2=Impacto | Q2=Critério de aceite | R2=Teste | S2=Status para implementação
A13=M-011 | B13=Comercial/Financeiro | C13=Taxas Nuvem realizadas | D13=No realizado, usar Taxas/Juros/Custos Totais/Valor Líquido exportados no extrato concretizado; fórmula histórica só valida, não substitui valor exportado. | E13=GOV §10; COM/LOG §0.6/14.2; FIN §5 | F13=Comercial para análise realizada; Financeiro para classificação | G13=Extrato Nuvem concretizado | H13=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I13=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J13=Financeiro classifica DRE/competência. | K13=Compatíveis e complementares. | L13=SIM | M13=NÃO | N13=NÃO | O13=Preservar sinal original e valores exportados; não reaplicar contrato. | P13=Dupla cobrança de taxa ou líquido incorreto. | Q13=Evento realizado reproduz exatamente o extrato; venda pode validar Custos=Taxas+Juros sem recalcular especiais. | R13=T-FEE-01..07 | S13=DEPENDÊNCIA ENTRE DOMÍNIOS
A14=M-012 | B14=Financeiro | C14=Nuvem — futuro/contrato | D14=Tabela contratual é PARAM para previsão/conferência; quando evento exportado existe, extrato prevalece. Lançamentos futuros não entram na camada Comercial. | E14=FIN §5.1/5.2; GOV §10; COM/LOG §14.2 | F14=Financeiro | G14=Contrato vigente + arquivo futuro | H14=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I14=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J14=Comercial não consome futuro financeiro. | K14=Complementares. | L14=SIM | M14=NÃO | N14=NÃO | O14=Versionar parâmetros; impedir soma contratual sobre custo já exportado. | P14=Risco de taxa duplicada e projeção tratada como realizado. | Q14=Contrato nunca altera realizado exportado; futuro fica segregado. | R14=T-FEE-FUT-01..07 | S14=BLOQUEADO POR REGRA
A15=M-013 | B15=Logística | C15=Custo de etiqueta | D15=Fatura Nuvem Envio = custo CONFIRMED; cotação = PROVISIONAL até existir fatura, que substitui granularmente a cotação. | E15=GOV §9; COM/LOG §5.8/14.2 | F15=Logística | G15=Nuvem Envio | H15=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I15=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J15=Financeiro pode classificar o mesmo fato depois. | K15=Financeiro não redefine o fato operacional; não há regra financeira conflitante. | L15=SIM | M15=NÃO | N15=NÃO | O15=Criar fato único de etiqueta com status e origem; classificação contábil separada. | P15=Cotação pode ser confundida com gasto realizado. | Q15=Fatura substitui apenas a cotação do mesmo shipment/order; nunca soma ambos. | R15=T-SHIP-01..07 | S15=DEPENDÊNCIA ENTRE DOMÍNIOS
A16=M-014 | B16=Logística | C16=Frete cobrado do cliente | D16=Frete recuperado = frete destacado em NF válida; sem destaque/zero = R$0 apenas quando ausência semântica foi validada, não falha de leitura. | E16=GOV §9; COM/LOG §5.8 | F16=Logística | G16=NF de saída/Bling | H16=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I16=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J16=Financeiro poderá classificar recuperação/receita conforme regra própria. | K16=Compatível com null≠0 se parser distingue ausência real de indisponibilidade. | L16=SIM | M16=NÃO | N16=NÃO | O16=Mapear campo estruturado real da NF e estados de leitura. | P16=Zero fictício distorce subsídio e margem logística. | Q16=NF válida sem frete destacado gera 0 CONFIRMED; erro de parser gera UNAVAILABLE. | R16=T-FREIGHT-CUST-01..07 | S16=BLOQUEADO POR DADO
A17=M-015 | B17=Logística | C17=Subsídio e resultado do frete | D17=Subsídio=MAX(0; etiqueta−frete cliente); Resultado=frete cliente−etiqueta. Mesma qualidade das fontes. | E17=GOV §9; COM/LOG §5.8 | F17=Logística | G17=Derivado de Nuvem Envio + NF | H17=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I17=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J17=Financeiro só classifica depois; não reescreve o cálculo operacional. | K17=Sem conflito. | L17=SIM | M17=NÃO | N17=NÃO | O17=Implementar cálculo derivado com propagação de status. | P17=Indicadores logísticos errados se fonte provisória/indisponível for tratada como confirmada. | Q17=Resultado mantém sinal; subsídio nunca negativo; status deriva das fontes. | R17=T-FREIGHT-ECON-01..07 | S17=DEPENDÊNCIA ENTRE DOMÍNIOS
A18=M-016 | B18=Logística | C18=Transportadoras | D18=Consolidar Loggi/Correios/outras separando CONFIRMED e PROVISIONAL; não concluir superioridade só por custo médio. | E18=GOV §9; COM/LOG §5.8 | F18=Logística | G18=Nuvem Envio | H18=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I18=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J18=Comercial usa análise; Financeiro pode consumir fatos, não ranking. | K18=Sem conflito. | L18=SIM | M18=NÃO | N18=NÃO | O18=Criar agrupamento descritivo e preservar variáveis de comparação quando existirem. | P18=Ranking enganoso pode induzir decisão de transporte errada. | Q18=Média nunca é rotulada como causal/benchmark de melhor transportadora sem controles. | R18=T-CARRIER-01..07 | S18=BLOQUEADO POR REGRA
A19=M-017 | B19=Financeiro | C19=DRE — motor | D19=DRE é motor Majucau; Bling fornece fatos. UNMAPPED não entra em conta coringa; linhas não somem por falta de dado. | E19=FIN LOCK-07 §6; COM/LOG §8 | F19=Financeiro | G19=Bling + fontes aprovadas/mapeadas | H19=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I19=RC-3 fecha estrutura, mas o documento inteiro ainda aguarda aprovação e há mapeamentos OPEN. | J19=Comercial depende de margem/resultado quando confirmado. | K19=COM/LOG dizia cálculo bloqueado até Financeiro; RC-3 fecha estrutura e mantém pontos OPEN. | L19=SIM | M19=NÃO | N19=NÃO | O19=Implementar somente estrutura fechada após gate; fatos OPEN permanecem bloqueados. | P19=Resultado financeiro incorreto se conta genérica ou fonte faltante virar zero. | Q19=Fato sem mapping_id fica UNMAPPED e não altera resultado. | R19=T-DRE-01..07 | S19=DEPENDÊNCIA ENTRE DOMÍNIOS
A20=M-018 | B20=Financeiro | C20=DRE — fretes/taxas/comissões | D20=Taxas, fretes, comissões etc. só entram com fonte e classificação financeira aprovada; fato operacional permanece íntegro. | E20=FIN DRE-06; GOV §7/8; COM/LOG §0.6/5.8 | F20=Financeiro | G20=Fatos Nuvem/Nuvem Envio/Bling + mapping | H20=NÃO AUDITADO | I20=Classificação/competência não está completamente fechada para todos os fatos. | J20=Logística/Comercial fornece os fatos realizados. | K20=Mesma origem, usos diferentes. | L20=SIM | M20=NÃO | N20=SIM | O20=Definir mapping/competência financeira de frete, taxas, juros e créditos/ajustes. | P20=Pode duplicar ou classificar custos na linha errada. | Q20=Fato pode existir operacionalmente sem ser lançado na DRE até mapping aprovado. | R20=T-DRE-MAP-01..07 | S20=LACUNA — DECISÃO MAJUCAU
A21=M-019 | B21=Financeiro | C21=CMV/CPV — metodologia | D21=Nesta fase, CMV/CPV e margem usam custo cadastrado no Bling por SKU; não substituir por NF/custo médio/BOM sem novo gate. | E21=FIN LOCK-08, DRE-04, T-09 | F21=Financeiro | G21=Bling custo SKU | H21=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I21=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J21=Comercial usa custo para margem/pricing quando válido. | K21=COM/LOG antes tratava fonte como pendente; RC-3 fecha metodologia financeira. | L21=SIM | M21=NÃO | N21=NÃO | O21=Usar apenas custo Bling quando campo/momento validado. | P21=Metodologia diferente altera margem e DRE. | Q21=Teste garante que NF/custo médio não substituem custo Bling. | R21=T-CMV-01..07 | S21=DEPENDÊNCIA ENTRE DOMÍNIOS
A22=M-020 | B22=Financeiro | C22=CMV histórico — snapshot | D22=Campo/snapshot do custo Bling válido na data da venda ainda não está mapeado. | E22=FIN OPEN-01 / DRE-04 | F22=Financeiro | G22=Bling | H22=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I22=OPEN técnico explícito. | J22=Comercial P1/P7 margem histórica depende disso. | K22=COM/LOG também bloqueia margem sem custo/competência válidos. | L22=SIM | M22=NÃO | N22=SIM | O22=Mapear campo histórico real ou decidir tratamento se Bling só expõe custo atual. | P22=Margem histórica pode parecer exata sem ser. | Q22=Venda histórica só recebe CMV CONFIRMED quando snapshot/data de validade forem demonstráveis. | R22=T-CMV-HIST-01..07 | S22=BLOQUEADO POR DADO
A23=M-021 | B23=Financeiro/Comercial | C23=Preço sugerido / margem | D23=Preço atual e custo-base vêm do Bling; preço sugerido é analítico; margem mínima/alvo/ideal 25/35/40% são parâmetros editáveis; não grava no Bling. | E23=FIN LOCK-12 §9; COM/LOG §5.6 | F23=Financeiro fecha fórmula/params; Comercial usa análise | G23=Bling + parâmetros + taxas válidas | H23=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I23=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J23=Comercial Pricing/Mix | K23=Convergentes; RC-3 fecha parâmetros que antes estavam pendentes. | L23=SIM | M23=NÃO | N23=NÃO | O23=Implementar como análise read-only após resolver componentes OPEN. | P23=Preço errado ou alteração indevida no ERP. | Q23=Nenhuma escrita automática no Bling; denominador<=0 bloqueia. | R23=T-PRICE-01..07 | S23=DEPENDÊNCIA ENTRE DOMÍNIOS
A24=M-022 | B24=Financeiro | C24=Preço sugerido — tarifa fixa | D24=Alocação de tarifa fixa por transação entre SKUs ainda não definida; sem regra, componente fica PENDENTE. | E24=FIN OPEN-04 / T-14 | F24=Financeiro | G24=Nuvem contrato/extrato + itens pedido | H24=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I24=OPEN explícito. | J24=Comercial depende para preço por SKU. | K24=COM/LOG não fecha rateio por item. | L24=SIM | M24=NÃO | N24=SIM | O24=Majucau/Financeiro definir método de alocação ou escopo sem tarifa fixa por SKU. | P24=Pode distorcer custo unitário e preço sugerido. | Q24=Pedido multi-SKU não recebe rateio implícito. | R24=T-PRICE-FIX-01..07 | S24=LACUNA — DECISÃO MAJUCAU
A25=M-023 | B25=Financeiro | C25=UI Pricing | D25=Local exato do componente de Preço Sugerido não está definido; nova rota/tela é proibida sem decisão. | E25=FIN OPEN-08; GOV §17 | F25=Majucau / Design | G25=N/A | H25=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I25=OPEN explícito. | J25=Comercial P1 pode ser candidato, mas não está aprovado. | K25=COM/LOG mantém Design Lock; não fecha local. | L25=SIM | M25=NÃO | N25=SIM | O25=Decidir local sem redesenhar telas congeladas. | P25=Risco de violar Design Lock/fluxo aprovado. | Q25=Componente só aparece em local formalmente aprovado. | R25=T-UI-PRICE-01..07 | S25=LACUNA — DECISÃO MAJUCAU
A26=M-024 | B26=Comercial/Financeiro | C26=Perdas — fato | D26=Planilha de Perdas alimenta domínio Perdas; não cria venda/caixa/estoque. DRE consome perda reconhecida uma vez; vínculo com Bling impede dupla contagem. | E26=FIN LOCK-06 §11/T-10; COM/LOG §2/3/18 | F26=Comercial para ocorrência; Financeiro para reconhecimento | G26=Planilha de Perdas + fato oficial quando houver | H26=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I26=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J26=Financeiro DRE | K26=Compatíveis. | L26=SIM | M26=NÃO | N26=NÃO | O26=Modelar evento de perda separado e vínculo com lançamento oficial. | P26=Dupla redução de resultado. | Q26=Mesmo evento ligado em Perdas e Bling reduz resultado uma única vez. | R26=T-LOSS-01..07 | S26=DEPENDÊNCIA ENTRE DOMÍNIOS
A27=M-025 | B27=Financeiro | C27=Perdas — competência | D27=Data de reconhecimento da perda quando ocorrência/confirmação/baixa divergem não está definida. | E27=FIN OPEN-02; COM/LOG §20 | F27=Financeiro | G27=Planilha + fato oficial | H27=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I27=OPEN explícito. | J27=Comercial fornece datas do evento. | K27=Ambos reconhecem a lacuna. | L27=SIM | M27=NÃO | N27=SIM | O27=Decisão Financeiro/Majucau sobre competence_date. | P27=Afeta DRE por período. | Q27=Linha DRE afetada permanece bloqueada até regra de competência. | R27=T-LOSS-COMP-01..07 | S27=LACUNA — DECISÃO MAJUCAU
A28=M-026 | B28=Financeiro | C28=Recuperações/ressarcimentos | D28=Só afetam DRE/caixa quando houver fato financeiro/documental reconhecível; aprovação ≠ recebimento. | E28=FIN §11; COM/LOG §3/18/20 | F28=Financeiro | G28=Fonte oficial a aprovar por evento | H28=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I28=Competência/classificação final ainda não fechada. | J28=Comercial registra evento operacional. | K28=Compatíveis quanto à separação; falta reconhecimento final. | L28=SIM | M28=NÃO | N28=SIM | O28=Definir momento/conta de reconhecimento e fonte por tipo. | P28=Pode antecipar receita/recuperação ou duplicar estorno. | Q28=Evento aprovado sem recebimento não altera caixa. | R28=T-RECOV-01..07 | S28=LACUNA — DECISÃO MAJUCAU
A29=M-027 | B29=Financeiro | C29=Balancete — motor | D29=Reconstruir débitos/créditos com conta, contrapartida, documento, competência e origem; diferença não usa conta automática de fechamento. | E29=FIN §7/T-15; COM/LOG §9 | F29=Financeiro | G29=Fatos + mapeamentos aprovados | H29=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I29=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J29=Comercial apenas consome diagnósticos quando disponíveis. | K29=Compatíveis; RC-3 detalha. | L29=SIM | M29=NÃO | N29=NÃO | O29=Implementar estrutura apenas após gate; sem conta coringa. | P29=Balancete pode fechar artificialmente e perder auditoria. | Q29=Total D=C em modelo fechado; diferença permanece divergente. | R29=T-BAL-01..07 | S29=BLOQUEADO POR REGRA
A30=M-028 | B30=Financeiro | C30=Balancete — saldos iniciais | D30=Fonte/campo oficial de saldos iniciais e contrapartidas completas está OPEN; sem fonte = UNAVAILABLE, não zero. | E30=FIN OPEN-06 §7 | F30=Financeiro | G30=Bling ou fonte a aprovar | H30=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I30=OPEN explícito. | J30=Nenhuma. | K30=COM/LOG também tratava plano final como pendente. | L30=SIM | M30=NÃO | N30=SIM | O30=Mapear fonte oficial e contrapartidas. | P30=Saldo inicial fictício contamina todo o balancete. | Q30=Sem fonte aprovada, saldo inicial permanece UNAVAILABLE. | R30=T-BAL-OPEN-01..07 | S30=BLOQUEADO POR DADO
A31=M-029 | B31=Financeiro | C31=DRE — fontes complementares | D31=Folha, depreciação, tributos e outras linhas não presentes no Bling precisam de fonte aprovada. | E31=FIN OPEN-07 / DRE-11 | F31=Financeiro | G31=Fonte a aprovar | H31=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I31=OPEN explícito. | J31=Nenhuma. | K31=COM/LOG já mantinha DRE bloqueada por lacunas financeiras. | L31=SIM | M31=NÃO | N31=SIM | O31=Definir fontes complementares ou manter UNAVAILABLE. | P31=DRE incompleta pode parecer confirmada. | Q31=Linha obrigatória sem fonte fica UNAVAILABLE, nunca 0. | R31=T-DRE-SRC-01..07 | S31=LACUNA — DECISÃO MAJUCAU
A32=M-030 | B32=Financeiro | C32=Investimentos — lucro elegível | D32=RC-3: soma Resultado Líquido da DRE Majucau jan..M−2 − valor já investido CDI Plus. RC-2.2 wireframe/fonte cita Resultado Líquido DRE do Bling até M−2. | E32=FIN INV-01; COM/LOG Tela 10/Fonte dos dados | F32=Financeiro | G32=DRE Majucau vs DRE Bling | H32=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I32=CONFLITO REAL de fonte. | J32=DRE/Investimentos | K32=Fontes incompatíveis para o mesmo input. | L32=NÃO | M32=SIM | N32=NÃO | O32=Majucau/Financeiro decidir a fonte oficial do Lucro Elegível; DEV não escolhe. | P32=Altera diretamente o máximo aplicável. | Q32=Mesmo período com DRE Bling ≠ DRE Majucau deve evidenciar qual é válida. | R32=T-CONF-INV-01..07 | S32=CONFLITO — DECISÃO MAJUCAU
A33=M-031 | B33=Financeiro | C33=Investimentos — semana crítica | D33=RC-3: semana com MAIOR TOTAL DE DESPESAS. RC-2.2: menor saldo semanal do fluxo Bling. | E33=FIN LOCK-09/INV-02/T-12; COM/LOG §2/10/18 | F33=Financeiro | G33=Fluxo de caixa | H33=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I33=CONFLITO REAL de algoritmo. | J33=Investimentos | K33=Algoritmos podem selecionar semanas diferentes. | L33=NÃO | M33=SIM | N33=NÃO | O33=Majucau/Financeiro decidir algoritmo oficial antes de codificar. | P33=Muda Caixa Semana Crítica e Máximo Aplicável. | Q33=Dataset com maior despesa em semana diferente do menor saldo deve produzir escolha única aprovada. | R33=T-CONF-WEEK-01..07 | S33=CONFLITO — DECISÃO MAJUCAU
A34=M-032 | B34=Financeiro | C34=Investimentos — posição de caixa | D34=Após escolher a semana crítica, qual saldo/posição dentro da semana alimenta 'Caixa Semana Crítica' ainda está OPEN. | E34=FIN OPEN-05 | F34=Financeiro | G34=Fluxo Bling | H34=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I34=OPEN explícito. | J34=Depende da decisão M-031. | K34=COM/LOG usa 'saldo semana crítica', mas não resolve múltiplos saldos. | L34=NÃO | M34=NÃO | N34=SIM | O34=Mapear campo real; não escolher inicial/final/mínimo por conveniência. | P34=Máximo Aplicável muda com o saldo escolhido. | Q34=Com múltiplos saldos, cálculo bloqueia até posição aprovada. | R34=T-INV-CASH-01..07 | S34=LACUNA — DECISÃO MAJUCAU
A35=M-033 | B35=Financeiro | C35=Investimentos — valor já investido | D35=Valor já investido = valor aplicado no CDI Plus. | E35=FIN LOCK-10/INV-01; COM/LOG não fecha fonte específica | F35=Financeiro | G35=CDI Plus | H35=NÃO AUDITADO — nenhum repositório/código/BD/configuração do sistema atual foi fornecido. | I35=Documentação em PARA APROVAÇÃO; gate explícito proíbe codificação antes da aprovação Majucau. | J35=Nenhuma. | K35=Financeiro fecha lacuna anterior. | L35=SIM | M35=NÃO | N35=NÃO | O35=Integrar/cadastrar fonte aprovada do CDI Plus sem inferência. | P35=Lucro elegível pode ser superestimado se omitido. | Q35=Valor usado deve reconciliar com posição CDI Plus e data de posição. | R35=T-CDI-01..07 | S35=BLOQUEADO POR DADO
